"week","day","techno","ecart_type","moyenne"
47,1,"eolien",2328.79491531246,3234.54464285714
47,1,"solaire",317.203785810958,664.008928571429
47,1,"fil_eau",1063.04710971312,3691.35714285714
47,1,"lac",328.328583889436,1473.9375
47,1,"cogeneration",287.34586408366,3469.64880952381
47,1,"nucleaire",3796.93111583502,45055.0267857143
47,2,"consommation",4721.81731890086,64582.7351190476
47,2,"eolien",2476.14968564672,3257.71428571429
47,2,"solaire",277.260195150955,565.464285714286
47,2,"fil_eau",990.695533391038,4038.1369047619
47,2,"lac",926.342344748567,3153.02380952381
47,2,"cogeneration",324.481824908218,3616.52976190476
47,2,"nucleaire",4318.47715588152,45744.5744047619
47,3,"consommation",6134.39635801334,65543.1369047619
47,3,"eolien",1260.10806717512,2748.58928571428
47,3,"solaire",280.30871601352,575.041666666667
47,3,"fil_eau",1066.10784023037,4367.66369047619
47,3,"lac",1145.80128701579,3444.43452380952
47,3,"cogeneration",323.586841049504,3634.27976190476
47,3,"nucleaire",4731.01532568469,46097.4583333333
47,4,"consommation",6501.79458037053,63195.25
47,4,"eolien",2262.8610969206,3931.73214285714
47,4,"solaire",301.935903781845,696.982142857143
47,4,"fil_eau",1417.26116074326,4056.74107142857
47,4,"lac",1343.95604539553,2896.06845238095
47,4,"cogeneration",416.040761314599,3632.58333333333
47,4,"nucleaire",4421.68982748838,45815.2559523809
47,5,"consommation",5658.31811534929,62631.5476190476
47,5,"eolien",2555.6740867768,4995.26785714286
47,5,"solaire",181.971900834861,578.574404761905
47,5,"fil_eau",1365.74904962778,3709.99107142857
47,5,"lac",1318.67647497304,2598.21428571429
47,5,"cogeneration",364.043895509827,3591.19345238095
47,5,"nucleaire",4103.86678634859,45867.9494047619
47,6,"consommation",3942.56715875819,61950.4851190476
47,6,"eolien",2327.60692506327,3997.14880952381
47,6,"solaire",261.60409275765,442.452380952381
47,6,"fil_eau",1173.48902188233,3816.84821428571
47,6,"lac",825.673518101764,2591.88988095238
47,6,"cogeneration",323.986269274751,3634.02678571429
47,6,"nucleaire",3745.50181048343,46400.6964285714
47,7,"consommation",2577.87176811892,57614.0416666667
47,7,"eolien",1563.94197193101,3506.45238095238
47,7,"solaire",290.256049017763,615.815476190476
47,7,"fil_eau",831.199031212794,4123.19047619048
47,7,"lac",529.932793205875,1543.6755952381
47,7,"cogeneration",310.401901314702,3507.99702380952
47,7,"nucleaire",3776.8470515407,44906.5297619048
48,1,"consommation",2324.79693321187,57603.7291666667
48,1,"eolien",2027.39830980529,3495.89285714286
48,1,"solaire",259.517463584675,504.598214285714
48,1,"fil_eau",1318.98098657409,3986.77380952381
48,1,"lac",687.786022858792,1721.27678571429
48,1,"cogeneration",328.775041891062,3624.65178571429
48,1,"nucleaire",4459.77574137069,47103.0505952381
48,2,"consommation",2584.32650738959,65822.8630952381
48,2,"eolien",2238.84896899661,4182.75595238095
48,2,"solaire",247.450883265352,542.297619047619
48,2,"fil_eau",910.579177497522,4153.46726190476
48,2,"lac",799.036959382145,3115.19345238095
48,2,"cogeneration",294.441740052907,3710.20535714286
48,2,"nucleaire",4039.92545143213,48758.6904761905
48,3,"consommation",4781.60296041963,65602.4166666667
48,3,"eolien",1446.58876212615,3429.51190476191
48,3,"solaire",243.703115445842,521.625
48,3,"fil_eau",839.380658165441,4242.8630952381
48,3,"lac",440.93916545889,3038.7619047619
48,3,"cogeneration",278.790247030722,3698.77678571429
48,3,"nucleaire",3521.81564162395,48751.6607142857
48,4,"consommation",5302.00386400434,66107.0684523809
48,4,"eolien",3605.61598279823,4011.29761904762
48,4,"solaire",265.347822159024,522.3125
48,4,"fil_eau",921.125410016469,4285.14583333333
48,4,"lac",389.499933830591,3189.08928571429
48,4,"cogeneration",323.133929599374,3706.83333333333
48,4,"nucleaire",3669.68753656067,48437.0476190476
48,5,"consommation",5238.1714615979,64262.4940476191
48,5,"eolien",2859.59995084363,4200.99404761905
48,5,"solaire",201.126311957043,505.598214285714
48,5,"fil_eau",1134.14792591493,4535.80952380952
48,5,"lac",1154.60613535279,3226.74404761905
48,5,"cogeneration",271.980219482986,3641.19047619048
48,5,"nucleaire",4353.57003679151,47496.6458333333
48,6,"consommation",5987.87277113924,64281.4583333333
48,6,"eolien",974.748596165962,3055.47619047619
48,6,"solaire",162.288148878373,476.199404761905
48,6,"fil_eau",1234.84539992112,4696.17261904762
48,6,"lac",832.143691165888,3339.83630952381
48,6,"cogeneration",345.027123543193,3663.96726190476
48,6,"nucleaire",4224.20955276023,48724
48,7,"consommation",2779.09228399305,57841.6845238095
48,7,"eolien",1901.8526933884,3890.20238095238
48,7,"solaire",166.292302520729,473.619047619048
48,7,"fil_eau",1466.57161426523,4147.60416666667
48,7,"lac",669.775236427995,1730.29166666667
48,7,"cogeneration",334.798985261914,3651.47916666667
48,7,"nucleaire",4742.20892733755,47134.181547619
49,1,"consommation",5903.42203334877,61306.5119047619
49,1,"eolien",3599.41042070135,4853.23214285714
49,1,"solaire",146.5972391874,420.776785714286
49,1,"fil_eau",735.141764546015,3335.85714285714
49,1,"lac",427.463498893272,1538.33035714286
49,1,"cogeneration",299.409975823594,3770
49,1,"nucleaire",3904.02929909444,48206.3482142857
49,2,"consommation",5571.89214991745,67853.9732142857
49,2,"eolien",2762.92189760859,3253.08928571429
49,2,"solaire",166.544220397718,441.392857142857
49,2,"fil_eau",1047.01333184414,4264.38988095238
49,2,"lac",1010.41399224405,3203.86011904762
49,2,"cogeneration",291.993545428816,3846.76488095238
49,2,"nucleaire",5096.78708544812,49566.9196428571
49,3,"consommation",4907.21688133521,67980.9613095238
49,3,"eolien",2170.56894312797,2524.49107142857
49,3,"solaire",256.494301695474,480.321428571428
49,3,"fil_eau",1208.72822602788,4382.83035714286
49,3,"lac",892.205827098897,3445.98214285714
49,3,"cogeneration",369.752819891154,3872.03571428571
49,3,"nucleaire",4885.3973441634,50800.9791666667
49,4,"consommation",4623.30571986408,69129.9226190476
49,4,"eolien",799.788644381779,2081.75595238095
49,4,"solaire",166.152453468149,483.684523809524
49,4,"fil_eau",1079.71596611377,4520.53869047619
49,4,"lac",1170.29211888251,4091.97916666667
49,4,"cogeneration",321.440170310823,3922.55654761905
49,4,"nucleaire",4372.48168737619,50646.8601190476
49,5,"consommation",5119.99715635433,69565.3541666667
49,5,"eolien",3118.48642549547,3561.66369047619
49,5,"solaire",212.534217356768,472.5
49,5,"fil_eau",1118.25195319491,4514.5505952381
49,5,"lac",882.340376951328,3472.375
49,5,"cogeneration",310.466069661211,3926.89583333333
49,5,"nucleaire",4554.86814399185,49865.4910714286
49,6,"consommation",4665.3092448801,68652.306547619
49,6,"eolien",3440.04951320692,5108.97321428571
49,6,"solaire",181.772130288273,415.520833333333
49,6,"fil_eau",915.516297191073,4436.04166666667
49,6,"lac",679.618296148523,2963.24404761905
49,6,"cogeneration",273.901096607065,3892.92261904762
49,6,"nucleaire",4320.34952049353,49634.8303571429
49,7,"consommation",4840.02191438397,63901.1488095238
49,7,"eolien",3239.36951832617,4634.00595238095
49,7,"solaire",135.528223814198,407.145833333333
49,7,"fil_eau",789.57498396243,3943.66369047619
49,7,"lac",698.130786435759,1847.33630952381
49,7,"cogeneration",253.153986884588,3820.94345238095
49,7,"nucleaire",4328.8655250208,48744.2470238095
50,1,"consommation",3543.07215047265,59886.7916666666
50,1,"eolien",3838.61316124111,5216.25297619048
